[sec: 000000 msec: 037 micsec: 583]Start of 0
[sec: 000000 msec: 043 micsec: 756]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 043 micsec: 921]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 044 micsec: 159]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 044 micsec: 193]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 045 micsec: 325]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 046 micsec: 013]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 047 micsec: 556]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 047 micsec: 882]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 049 micsec: 022]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 049 micsec: 725]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 051 micsec: 418]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 051 micsec: 460]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 053 micsec: 988]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 054 micsec: 111]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 054 micsec: 965]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 055 micsec: 623]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 060 micsec: 251]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 060 micsec: 377]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 061 micsec: 241]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 061 micsec: 508]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 062 micsec: 545]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 062 micsec: 650]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 063 micsec: 059]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 064 micsec: 122]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 065 micsec: 358]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 065 micsec: 961]Received packet from proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 067 micsec: 559]Send packet to proc 0 (127.0.0.1), message: hi
[sec: 000000 msec: 067 micsec: 960]Received packet from proc 0 (127.0.0.1), message: hi
